X,Y,OBJECTID,acci_id,tamainid,numunits,AccidentDate,AccidentTime,DayOfWeek,WasFatal,WasHitAndRun,TransImmedMedCare,UCRCode,UCRDescription,CoordX,CoordY,Location,Inside_Outside,City,Accuracy,Distance,Units,Direction,From_At,IntersectingStreet,AddrNumber,AddrDirection,AddrStreetName,AddrStreetNameSuffix,CrossStreetDirection,CrossStreetName,CrossStreetSuffix,LightConditionDescription,WeatherDescription,WeatherOther,RelationDescription,IntersectionTypeDescription,RoadConfigurationDescription,MannerOfCrashDescription,MannerOfCrashOther,DATASOURCE,URL,F7Days,F28Days,COMPSTAT_28D,WEEKLY_7D,AccidentDateTime
1023480.279855642467737,440583.589895009994507,3066,1509010557  ,178020,2,2015-09-01T00:00:00.000Z,2039,TUE,0,0,0,3204      ,3204-PROP DMG TRAF ACCIDENT/BICYCLE                    ,1023480.28,440583.59,22ND ST E                     ,INSIDE                                                 ,TUCSON              ,Approximately,500  ,Feet,E ,From,VAN BUREN AV S                ,        ,E ,22ND                                    ,ST  ,S ,VAN BUREN                               ,AV  ,DARK-LIGHTED                                           ,CLEAR                                                  ,                         ,NOT JUNCTION RELATED                                   ,,"2-WAY, DIVIDED, UNPROT (PAINTED > 4 FEET) MEDIAN       ",SINGLE VEHICLE                                         ,                         ,TPD_TRAFFIC_INCIDENTS,,,,,,
995449.75,456803.5,3081,1705050468  ,193391,2,2017-05-05T00:00:00.000Z,1654,FRI,0,0,0,3104      ,3104-INJURY TRAFFIC ACCIDENT/BICYCLE                   ,995449.75,456803.5,1ST AV N                      ,INSIDE                                                 ,TUCSON              ,N/A,     ,N/A,  ,At,ALTURAS ST E                  ,        ,N ,1ST                                     ,AV  ,E ,ALTURAS                                 ,ST  ,DAYLIGHT                                               ,CLEAR                                                  ,                         ,NON-CONTROLLED ACCESS - INTERSECTION (WITHIN)          ,FOUR-WAY INTERSECTION                                  ,"2-WAY, NOT DIVIDED WITH CONT LEFT TURN LANE            ",ANGLE (FRONT TO SIDE) (OTHER THAN LEFT TURN)           ,                         ,TPD_TRAFFIC_INCIDENTS,\\central\data\Transportation\Traffic\Accident Data\2017\1705050468.pdf,,,,,
996724.459973752498627,455953.169947504997253,3097,1508270442  ,177909,2,2015-08-27T00:00:00.000Z,1709,THU,0,0,0,3104      ,3104-INJURY TRAFFIC ACCIDENT/BICYCLE                   ,996724.46,455953.17,GRANT RD E                    ,INSIDE                                                 ,TUCSON              ,Approximately,100  ,Feet,W ,From,PARK AV N                     ,        ,E ,GRANT                                   ,RD  ,N ,PARK                                    ,AV  ,DAYLIGHT                                               ,CLOUDY                                                 ,                         ,NOT JUNCTION RELATED                                   ,,"2-WAY, NOT DIVIDED WITH CONT LEFT TURN LANE            ",SINGLE VEHICLE                                         ,                         ,TPD_TRAFFIC_INCIDENTS,,,,,,
996822.25,448869.5,3106,1801300005  ,199868,2,2018-01-30T00:00:00.000Z,1115,TUE,0,1,0,3214      ,3214-PROP DMG TRAF ACCIDENT/HIT & RUN/BICYCLE          ,996822.25,448869.5,N PARK                        ,INSIDE                                                 ,TUCSON              ,Approximately,20   ,Feet,S ,From,E SOUTH CAMPUS DR             ,        ,N ,PARK                                    ,AV  ,E ,SOUTH CAMPUS                            ,DR  ,DAYLIGHT                                               ,CLEAR                                                  ,                         ,NON-CONTROLLED ACCESS - INTERSECTION-RELATED           ,FOUR-WAY INTERSECTION                                  ,"2-WAY, NOT DIVIDED                                     ",OTHER                                                  ,PASSENGER DOOR/CYCLE     ,TPD_TRAFFIC_INCIDENTS,\\central\data\Transportation\Traffic\Accident Data\2018\1801300005.pdf,,,,,
999281.87007873877883,448186.06003937125206,3114,1608230015  ,186440,2,2016-08-23T00:00:00.000Z,1614,TUE,0,0,0,3214      ,3214-PROP DMG TRAF ACCIDENT/HIT & RUN/BICYCLE          ,999281.87,448186.06,CHERRY AVE                    ,INSIDE                                                 ,TUCSON              ,N/A,     ,N/A,  ,At,NATIONAL CHAMPIONSHIP WAY     ,540     ,N ,VINE                                    ,AV  ,  ,                                        ,    ,DAYLIGHT                                               ,CLEAR                                                  ,                         ,CONTROLLED ACCESS - INTERSECTION (WITHIN)              ,T-INTERSECTION                                         ,"2-WAY, NOT DIVIDED                                     ",ANGLE (FRONT TO SIDE) (OTHER THAN LEFT TURN)           ,                         ,TPD_TRAFFIC_INCIDENTS,\\central\data\Transportation\Traffic\Accident Data\2016\1608230015.pdf,,,,,
995453.37007873877883,456138.410104990005493,3158,1602250275  ,182097,2,2016-02-25T00:00:00.000Z,1318,THU,0,0,0,3104      ,3104-INJURY TRAFFIC ACCIDENT/BICYCLE                   ,995453.37,456138.41,1ST AV N                      ,INSIDE                                                 ,TUCSON              ,Approximately,300  ,Feet,N ,From,GRANT RD E                    ,        ,N ,1ST                                     ,AV  ,E ,GRANT                                   ,RD  ,DAYLIGHT                                               ,CLEAR                                                  ,                         ,NOT JUNCTION RELATED                                   ,,"2-WAY, NOT DIVIDED WITH CONT LEFT TURN LANE            ",SINGLE VEHICLE                                         ,                         ,TPD_TRAFFIC_INCIDENTS,,,,,,
995453.37007873877883,456138.410104990005493,3174,1411130500  ,172078,2,2014-11-13T00:00:00.000Z,2111,THU,0,0,0,3104      ,3104-INJURY TRAFFIC ACCIDENT/BICYCLE                   ,995453.37,456138.41,GRANT RD E                    ,INSIDE                                                 ,TUCSON              ,N/A,     ,N/A,  ,At,1ST AV N                      ,        ,N ,1ST                                     ,AV  ,E ,GRANT                                   ,RD  ,DARK-LIGHTED                                           ,CLEAR                                                  ,                         ,CONTROLLED ACCESS - INTERSECTION-RELATED               ,FOUR-WAY INTERSECTION                                  ,"2-WAY, NOT DIVIDED WITH CONT LEFT TURN LANE            ",ANGLE (FRONT TO SIDE) (OTHER THAN LEFT TURN)           ,                         ,TPD_TRAFFIC_INCIDENTS,,,,,,
995453.37007873877883,456138.410104990005493,3193,1804050348  ,201457,2,2018-04-05T00:00:00.000Z,1435,THU,0,0,0,3104      ,3104-INJURY TRAFFIC ACCIDENT/BICYCLE                   ,995453.37,456138.41,N 1ST AV                      ,INSIDE                                                 ,TUCSON              ,Approximately,150  ,Feet,N ,From,E GRANT RD                    ,        ,N ,1ST                                     ,AV  ,E ,GRANT                                   ,RD  ,DAYLIGHT                                               ,CLEAR                                                  ,                         ,NON-CONTROLLED ACCESS - DRIVEWAY                       ,FOUR-WAY INTERSECTION                                  ,"2-WAY, NOT DIVIDED WITH CONT LEFT TURN LANE            ",OTHER                                                  ,PEDALCYCLIST             ,TPD_TRAFFIC_INCIDENTS,\\central\data\Transportation\Traffic\Accident Data\2018\1804050348.pdf,,,,,
995453.37007873877883,456138.410104990005493,3198,1702220503  ,191417,2,2017-02-22T00:00:00.000Z,2022,WED,0,0,0,3104      ,3104-INJURY TRAFFIC ACCIDENT/BICYCLE                   ,995453.37,456138.41,GRANT RD E                    ,,TUCSON              ,Approximately,UNK  ,Feet,E ,From,1ST AV N                      ,        ,N ,1ST                                     ,AV  ,E ,GRANT                                   ,RD  ,DARK-LIGHTED                                           ,CLEAR                                                  ,                         ,NON-CONTROLLED ACCESS - INTERSECTION-RELATED           ,FOUR-WAY INTERSECTION                                  ,"2-WAY, NOT DIVIDED WITH CONT LEFT TURN LANE            ",SINGLE VEHICLE                                         ,                         ,TPD_TRAFFIC_INCIDENTS,\\central\data\Transportation\Traffic\Accident Data\2017\1702220503.pdf,,,,,
995453.37007873877883,456138.410104990005493,3201,1612020334  ,189206,2,2016-12-02T00:00:00.000Z,1635,FRI,0,0,0,3104      ,3104-INJURY TRAFFIC ACCIDENT/BICYCLE                   ,995453.37,456138.41,GRANT RD E                    ,INSIDE                                                 ,TUCSON              ,Approximately,200  ,Feet,E ,From,1ST AV N                      ,        ,N ,1ST                                     ,AV  ,E ,GRANT                                   ,RD  ,DUSK                                                   ,CLOUDY                                                 ,                         ,NOT JUNCTION RELATED                                   ,,"2-WAY, NOT DIVIDED WITH CONT LEFT TURN LANE            ",SINGLE VEHICLE                                         ,                         ,TPD_TRAFFIC_INCIDENTS,\\central\data\Transportation\Traffic\Accident Data\2016\1612020334.pdf,,,,,
